Gene.Name	N_black	N_white	Method	Statistic.D	pvalue	Condition	padj
PBX1	41	292	Two-sample Kolmogorov-Smirnov test	0.110257266956231	0.7746	Colon	1
PBX2	41	292	Two-sample Kolmogorov-Smirnov test	0.064650851987972	0.9982	Colon	1
PBX3	41	292	Two-sample Kolmogorov-Smirnov test	0.0713331105913799	0.9931	Colon	1
PBX4	41	292	Two-sample Kolmogorov-Smirnov test	0.146592048112262	0.4224	Colon	1
PBXIP1	41	292	Two-sample Kolmogorov-Smirnov test	0.0839458737053124	0.9618	Colon	1
PC	41	292	Two-sample Kolmogorov-Smirnov test	0.0681590377547611	0.9962	Colon	1
PCBD1	41	292	Two-sample Kolmogorov-Smirnov test	0.199298362846642	0.1150	Colon	0.9445379434216434
PCBD2	41	292	Two-sample Kolmogorov-Smirnov test	0.118192449047778	0.6967	Colon	1
PCBP1	41	292	Two-sample Kolmogorov-Smirnov test	0.103491480120281	0.8360	Colon	1
PCBP2	41	292	Two-sample Kolmogorov-Smirnov test	0.111009021049115	0.7675	Colon	1
PCBP3	41	292	Two-sample Kolmogorov-Smirnov test	0.214500501169395	0.0732	Colon	0.8634603535353536
PCBP4	41	292	Two-sample Kolmogorov-Smirnov test	0.135816906114267	0.5210	Colon	1
PCCA	41	292	Two-sample Kolmogorov-Smirnov test	0.124707651186101	0.6310	Colon	1
PCCB	41	292	Two-sample Kolmogorov-Smirnov test	0.161042432342132	0.3087	Colon	1
PCDH1	41	292	Two-sample Kolmogorov-Smirnov test	0.158536585365854	0.3268	Colon	1
PCDH7	41	292	Two-sample Kolmogorov-Smirnov test	0.0715001670564651	0.9929	Colon	1
PCDH8	41	292	Two-sample Kolmogorov-Smirnov test	0.121032408954226	0.6681	Colon	1
PCDH9	41	292	Two-sample Kolmogorov-Smirnov test	0.120948880721684	0.6690	Colon	1
PCDH10	41	292	Two-sample Kolmogorov-Smirnov test	0.102572669562312	0.8438	Colon	1
PCDH12	41	292	Two-sample Kolmogorov-Smirnov test	0.0923822251921149	0.9188	Colon	1
PCDH15	41	292	Two-sample Kolmogorov-Smirnov test	0.15327430671567	0.3670	Colon	1
PCDH17	41	292	Two-sample Kolmogorov-Smirnov test	0.0867023053792182	0.9498	Colon	1
PCDH18	41	292	Two-sample Kolmogorov-Smirnov test	0.087788172402272	0.9445	Colon	1
PCDH19	41	292	Two-sample Kolmogorov-Smirnov test	0.221516872702974	0.0587	Colon	0.8251436923076922
PCDH20	41	292	Two-sample Kolmogorov-Smirnov test	0.290761777480788	0.0046	Colon	0.36266320346320347
PCDHA1	41	292	Two-sample Kolmogorov-Smirnov test	0.08611760775142	0.9525	Colon	1
PCDHA2	41	292	Two-sample Kolmogorov-Smirnov test	0.134229869695957	0.5363	Colon	1
PCDHA3	41	292	Two-sample Kolmogorov-Smirnov test	0.174824590711661	0.2218	Colon	1
PCDHA4	41	292	Two-sample Kolmogorov-Smirnov test	0.120865352489141	0.6698	Colon	1
