Name	Mean(log(AA))	Mean(log(EA))	logFC	M-W U test pval	Adj pval
MDP1	8.930560495534912	9.080227400049532	-0.1496669045146195	1.1376153503217523E-5	4.6071271425527575E-5
CRTC3	8.472555918208059	8.622259276778722	-0.14970335857066353	8.018822272859438E-10	8.172288261517408E-9
HBG2	2.3713849542431826	2.5210942589214578	-0.14970930467827515	0.18821423793385506	0.25975732807300456
OAZ2	10.8233854700407	10.973105510707482	-0.14972004066678224	2.722419614853422E-6	1.2693473124861883E-5
TKTL1	1.5822395295674496	1.73200310151799	-0.14976357195054035	0.006628742873626914	0.014001700906343464
TCTN3	9.571165541271402	9.720934068134046	-0.14976852686264408	3.9134684267638775E-6	1.763287654335075E-5
ZNF573	5.447078414904887	5.5968495223955115	-0.14977110749062472	3.5627287734685265E-4	0.001028279182605528
TLR6	4.436845215824259	4.5866240594137295	-0.1497788435894707	0.016059911992710396	0.030677901952091646
AFTPH	9.03793768129117	9.187763982453253	-0.14982630116208284	2.2912725838875048E-7	1.3517543342325636E-6
ZNF790	6.415942645403219	6.565820002218353	-0.14987735681513392	1.105337108842086E-6	5.626159705486883E-6
MGA	6.772803878355605	6.922710863134189	-0.14990698477858455	6.129953819544731E-6	2.6435879460466173E-5
RIMS2	2.9937840180586193	3.1437140334117792	-0.14993001535315997	0.21552335382856025	0.29159136170609457
VAMP2	9.980717453810438	10.130690451431255	-0.14997299762081617	7.969399889939943E-5	2.6748748764391126E-4
CHRNB4	2.349130567345118	2.499121568375354	-0.14999100103023588	0.06305688410261467	0.10138536004915852
CDH16	3.7726650638857766	3.9226822793006106	-0.15001721541483404	0.31413204350552004	0.3994255935434288
BCAS3	8.171099216296668	8.321126182276082	-0.15002696597941423	2.2946850187000045E-5	8.670291195137859E-5
HERC3	8.502196892695796	8.652291730742949	-0.15009483804715273	0.0050623535898493	0.011018953457432227
TMEM176B	11.404484443019395	11.554626977319794	-0.15014253430039837	0.14003307661769093	0.20232307745826159
ATF7	8.757778933809359	8.907935722204918	-0.15015678839555946	7.667015911039243E-10	7.853301112027372E-9
CLASP1	8.233970974694357	8.384148660928611	-0.15017768623425454	4.999824998463964E-10	5.365752084385723E-9
