Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
UBL3	292	Hartigans' dip test for unimodality / multimodality	0.0195948604568749	0.6525	black or african american	GTEX	1
UBL4A	292	Hartigans' dip test for unimodality / multimodality	0.0189753938383402	0.7086	black or african american	GTEX	1
UBL4B	292	Hartigans' dip test for unimodality / multimodality	0.0654259390442431	0.0000	black or african american	GTEX	0
UBL5	292	Hartigans' dip test for unimodality / multimodality	0.0237279653283831	0.3101	black or african american	GTEX	1
UBL7	292	Hartigans' dip test for unimodality / multimodality	0.0158998368066881	0.9271	black or african american	GTEX	1
UBLCP1	292	Hartigans' dip test for unimodality / multimodality	0.0175260231031603	0.8266	black or african american	GTEX	1
UBN1	292	Hartigans' dip test for unimodality / multimodality	0.018496821340541	0.7496	black or african american	GTEX	1
UBN2	292	Hartigans' dip test for unimodality / multimodality	0.015574280196969	0.9426	black or african american	GTEX	1
UBOX5	292	Hartigans' dip test for unimodality / multimodality	0.0155676113909871	0.9430	black or african american	GTEX	1
UBP1	292	Hartigans' dip test for unimodality / multimodality	0.0164485095373846	0.9010	black or african american	GTEX	1
UBQLN1	292	Hartigans' dip test for unimodality / multimodality	0.0210388992753868	0.5219	black or african american	GTEX	1
UBQLN2	292	Hartigans' dip test for unimodality / multimodality	0.025211621779551	0.2236	black or african american	GTEX	1
UBQLN4	292	Hartigans' dip test for unimodality / multimodality	0.0145574899607856	0.9746	black or african american	GTEX	1
UBQLNL	292	Hartigans' dip test for unimodality / multimodality	0.0146747368556649	0.9713	black or african american	GTEX	1
UBR1	292	Hartigans' dip test for unimodality / multimodality	0.016132550521744	0.9161	black or african american	GTEX	1
UBR2	292	Hartigans' dip test for unimodality / multimodality	0.0178394994687018	0.8048	black or african american	GTEX	1
UBR3	292	Hartigans' dip test for unimodality / multimodality	0.0132678167916515	0.9911	black or african american	GTEX	1
UBR4	292	Hartigans' dip test for unimodality / multimodality	0.0217813113242228	0.4584	black or african american	GTEX	1
UBR5	292	Hartigans' dip test for unimodality / multimodality	0.0190141240907353	0.7053	black or african american	GTEX	1
UBR7	292	Hartigans' dip test for unimodality / multimodality	0.0236257506508866	0.3175	black or african american	GTEX	1
UBTD1	292	Hartigans' dip test for unimodality / multimodality	0.0195491359127637	0.6567	black or african american	GTEX	1
UBTD2	292	Hartigans' dip test for unimodality / multimodality	0.0147393051003568	0.9694	black or african american	GTEX	1
UBTF	292	Hartigans' dip test for unimodality / multimodality	0.0191976112348269	0.6888	black or african american	GTEX	1
UBXN1	292	Hartigans' dip test for unimodality / multimodality	0.0169084927376854	0.8695	black or african american	GTEX	1
UBXN2A	292	Hartigans' dip test for unimodality / multimodality	0.0179891298095658	0.7931	black or african american	GTEX	1
UBXN2B	292	Hartigans' dip test for unimodality / multimodality	0.0160604765718687	0.9195	black or african american	GTEX	1
UBXN4	292	Hartigans' dip test for unimodality / multimodality	0.021326391717311	0.4963	black or african american	GTEX	1
UBXN6	292	Hartigans' dip test for unimodality / multimodality	0.0193563923487824	0.6743	black or african american	GTEX	1
UBXN7	292	Hartigans' dip test for unimodality / multimodality	0.01428328706072	0.9813	black or african american	GTEX	1
UBXN10	292	Hartigans' dip test for unimodality / multimodality	0.0176264609902495	0.8196	black or african american	GTEX	1
UBXN11	292	Hartigans' dip test for unimodality / multimodality	0.0184865882208984	0.7505	black or african american	GTEX	1
UCHL1	292	Hartigans' dip test for unimodality / multimodality	0.012681852082292	0.9924	black or african american	GTEX	1
UCHL3	292	Hartigans' dip test for unimodality / multimodality	0.0164239651654293	0.9022	black or african american	GTEX	1
UCHL5	292	Hartigans' dip test for unimodality / multimodality	0.0230947937250102	0.3558	black or african american	GTEX	1
UCK1	292	Hartigans' dip test for unimodality / multimodality	0.0142990957182384	0.9811	black or african american	GTEX	1
UCK2	292	Hartigans' dip test for unimodality / multimodality	0.0154095615570918	0.9503	black or african american	GTEX	1
UCKL1	292	Hartigans' dip test for unimodality / multimodality	0.0163985210126731	0.9034	black or african american	GTEX	1
UCN	292	Hartigans' dip test for unimodality / multimodality	0.0120777140271184	0.9938	black or african american	GTEX	1
UCN2	292	Hartigans' dip test for unimodality / multimodality	0.0340919194764603	0.0171	black or african american	GTEX	0.13990350404312668
UCN3	292	Hartigans' dip test for unimodality / multimodality	0.0445543057214383	3e-04	black or african american	GTEX	0.003990942293644996
UCP2	292	Hartigans' dip test for unimodality / multimodality	0.016666035593611	0.8864	black or african american	GTEX	1
UCP3	292	Hartigans' dip test for unimodality / multimodality	0.015751562472752	0.9342	black or african american	GTEX	1
UEVLD	292	Hartigans' dip test for unimodality / multimodality	0.0198458515265475	0.6296	black or african american	GTEX	1
UFC1	292	Hartigans' dip test for unimodality / multimodality	0.0122974012840568	0.9933	black or african american	GTEX	1
UFD1L	292	Hartigans' dip test for unimodality / multimodality	0.0126675768327927	0.9925	black or african american	GTEX	1
UFL1	292	Hartigans' dip test for unimodality / multimodality	0.0181055930212382	0.7832	black or african american	GTEX	1
UFM1	292	Hartigans' dip test for unimodality / multimodality	0.0135341230021364	0.9905	black or african american	GTEX	1
UFSP1	292	Hartigans' dip test for unimodality / multimodality	0.0134620665918417	0.9906	black or african american	GTEX	1
UFSP2	292	Hartigans' dip test for unimodality / multimodality	0.023239310698026	0.3454	black or african american	GTEX	1
UGCG	292	Hartigans' dip test for unimodality / multimodality	0.0174378175069067	0.8327	black or african american	GTEX	1
UGDH	292	Hartigans' dip test for unimodality / multimodality	0.014301959186365	0.9811	black or african american	GTEX	1
UGGT1	292	Hartigans' dip test for unimodality / multimodality	0.0154221882123766	0.9499	black or african american	GTEX	1
UGGT2	292	Hartigans' dip test for unimodality / multimodality	0.0194150705187151	0.6690	black or african american	GTEX	1
UGP2	292	Hartigans' dip test for unimodality / multimodality	0.0119864878808433	0.9941	black or african american	GTEX	1
UGT1A1	292	Hartigans' dip test for unimodality / multimodality	0.0379944947590095	0.0042	black or african american	GTEX	0.041234716981132076
UGT1A4	292	Hartigans' dip test for unimodality / multimodality	0.0348597827014273	0.0133	black or african american	GTEX	0.11323964469378214
UGT1A6	292	Hartigans' dip test for unimodality / multimodality	0.0405463669827865	0.0015	black or african american	GTEX	0.016647166361974407
UGT1A7	292	Hartigans' dip test for unimodality / multimodality	0.0250995048646529	0.2299	black or african american	GTEX	1
UGT1A8	292	Hartigans' dip test for unimodality / multimodality	0.0142699330115897	0.9816	black or african american	GTEX	1
UGT1A9	292	Hartigans' dip test for unimodality / multimodality	0.0171361799540338	0.8537	black or african american	GTEX	1
UGT1A10	292	Hartigans' dip test for unimodality / multimodality	0.0292998942398357	0.0787	black or african american	GTEX	0.520626371231384
UGT2A1	292	Hartigans' dip test for unimodality / multimodality	0.0136053229436906	0.9903	black or african american	GTEX	1
UGT2A3	292	Hartigans' dip test for unimodality / multimodality	0.0245625107167801	0.2605	black or african american	GTEX	1
UGT2B4	292	Hartigans' dip test for unimodality / multimodality	0.026311108017533	0.1742	black or african american	GTEX	0.981903559269576
UGT2B7	292	Hartigans' dip test for unimodality / multimodality	0.0300001469300673	0.0639	black or african american	GTEX	0.43358673621460503
