Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
SRCRB4D	97	Hartigans' dip test for unimodality / multimodality	0.0257376064865669	0.9545	white	Liver	1
SRD5A1	97	Hartigans' dip test for unimodality / multimodality	0.0223349509708918	0.9913	white	Liver	1
SRD5A3	97	Hartigans' dip test for unimodality / multimodality	0.0280971469767329	0.8868	white	Liver	1
SREBF1	97	Hartigans' dip test for unimodality / multimodality	0.0304009559418548	0.7910	white	Liver	1
SREBF2	97	Hartigans' dip test for unimodality / multimodality	0.0305298838133091	0.7845	white	Liver	1
SREK1	97	Hartigans' dip test for unimodality / multimodality	0.0327925246249668	0.6688	white	Liver	1
SREK1IP1	97	Hartigans' dip test for unimodality / multimodality	0.0399388893469832	0.3175	white	Liver	1
SRF	97	Hartigans' dip test for unimodality / multimodality	0.0249379159214534	0.9680	white	Liver	1
SRFBP1	97	Hartigans' dip test for unimodality / multimodality	0.0346134288276177	0.5711	white	Liver	1
SRGAP1	97	Hartigans' dip test for unimodality / multimodality	0.0220108091247168	0.9918	white	Liver	1
SRGAP2	97	Hartigans' dip test for unimodality / multimodality	0.0254870601511369	0.9587	white	Liver	1
SRGAP3	97	Hartigans' dip test for unimodality / multimodality	0.0313670486156	0.7425	white	Liver	1
SRGN	97	Hartigans' dip test for unimodality / multimodality	0.0237902390802032	0.9840	white	Liver	1
SRI	97	Hartigans' dip test for unimodality / multimodality	0.0259215944860303	0.9514	white	Liver	1
SRL	97	Hartigans' dip test for unimodality / multimodality	0.0211545472631103	0.9931	white	Liver	1
SRM	97	Hartigans' dip test for unimodality / multimodality	0.0312891573730526	0.7464	white	Liver	1
SRMS	97	Hartigans' dip test for unimodality / multimodality	0.0552257700186748	0.0285	white	Liver	0.31668212324588163
SRP9	97	Hartigans' dip test for unimodality / multimodality	0.0356523899235392	0.5158	white	Liver	1
SRP14	97	Hartigans' dip test for unimodality / multimodality	0.0237109870511781	0.9847	white	Liver	1
SRP19	97	Hartigans' dip test for unimodality / multimodality	0.0354384305282133	0.5272	white	Liver	1
