Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
MSI2	89	Hartigans' dip test for unimodality / multimodality	0.0242249108596536	0.9885	white	Prostate	1
MSL1	89	Hartigans' dip test for unimodality / multimodality	0.0442796559848802	0.2243	white	Prostate	1
MSL2	89	Hartigans' dip test for unimodality / multimodality	0.0285704983592409	0.9083	white	Prostate	1
MSL3	89	Hartigans' dip test for unimodality / multimodality	0.0283353010967549	0.9146	white	Prostate	1
MSLN	89	Hartigans' dip test for unimodality / multimodality	0.0300464443739222	0.8540	white	Prostate	1
MSLNL	89	Hartigans' dip test for unimodality / multimodality	0.0386011878563641	0.4423	white	Prostate	1
MSMB	89	Hartigans' dip test for unimodality / multimodality	0.0287508302765172	0.9034	white	Prostate	1
MSMO1	89	Hartigans' dip test for unimodality / multimodality	0.0420980242233263	0.2952	white	Prostate	1
MSMP	89	Hartigans' dip test for unimodality / multimodality	0.162921348314607	0.0000	white	Prostate	0
MSN	89	Hartigans' dip test for unimodality / multimodality	0.0438058446661352	0.2397	white	Prostate	1
MSR1	89	Hartigans' dip test for unimodality / multimodality	0.024581203469191	0.9854	white	Prostate	1
MSRA	89	Hartigans' dip test for unimodality / multimodality	0.030812275135216	0.8239	white	Prostate	1
MSRB1	89	Hartigans' dip test for unimodality / multimodality	0.0224719101123595	0.9923	white	Prostate	1
MSRB2	89	Hartigans' dip test for unimodality / multimodality	0.0240032115075734	0.9901	white	Prostate	1
MSRB3	89	Hartigans' dip test for unimodality / multimodality	0.0239844709384614	0.9901	white	Prostate	1
MSS51	89	Hartigans' dip test for unimodality / multimodality	0.0363265706989444	0.5536	white	Prostate	1
MST1	89	Hartigans' dip test for unimodality / multimodality	0.0428089509009103	0.2721	white	Prostate	1
MST1R	89	Hartigans' dip test for unimodality / multimodality	0.0266645657604475	0.9560	white	Prostate	1
MST4	89	Hartigans' dip test for unimodality / multimodality	0.0209199001159011	0.9946	white	Prostate	1
MSTN	89	Hartigans' dip test for unimodality / multimodality	0.0364345539937652	0.5481	white	Prostate	1
MSTO1	89	Hartigans' dip test for unimodality / multimodality	0.0278292080163249	0.9284	white	Prostate	1
MSX1	89	Hartigans' dip test for unimodality / multimodality	0.0269697112123433	0.9510	white	Prostate	1
MSX2	89	Hartigans' dip test for unimodality / multimodality	0.0264682229911536	0.9591	white	Prostate	1
MT-ATP6	89	Hartigans' dip test for unimodality / multimodality	0.0227059924611148	0.9920	white	Prostate	1
MT-ATP8	89	Hartigans' dip test for unimodality / multimodality	0.030898874917524	0.8205	white	Prostate	1
MT-CO1	89	Hartigans' dip test for unimodality / multimodality	0.0273649915562632	0.9410	white	Prostate	1
MT-CO2	89	Hartigans' dip test for unimodality / multimodality	0.0300726998684779	0.8529	white	Prostate	1
MT-CO3	89	Hartigans' dip test for unimodality / multimodality	0.047128595042502	0.1549	white	Prostate	1
MT-CYB	89	Hartigans' dip test for unimodality / multimodality	0.0259831567625844	0.9670	white	Prostate	1
MT-ND1	89	Hartigans' dip test for unimodality / multimodality	0.0317339845799228	0.7848	white	Prostate	1
MT-ND2	89	Hartigans' dip test for unimodality / multimodality	0.0365927543687183	0.5400	white	Prostate	1
MT-ND3	89	Hartigans' dip test for unimodality / multimodality	0.0296950199460983	0.8678	white	Prostate	1
MT-ND4	89	Hartigans' dip test for unimodality / multimodality	0.0310159149966393	0.8159	white	Prostate	1
MT-ND4L	89	Hartigans' dip test for unimodality / multimodality	0.0318352115430618	0.7799	white	Prostate	1
MT-ND5	89	Hartigans' dip test for unimodality / multimodality	0.0272028409499962	0.9454	white	Prostate	1
MT-ND6	89	Hartigans' dip test for unimodality / multimodality	0.0280118688248207	0.9234	white	Prostate	1
MT1A	89	Hartigans' dip test for unimodality / multimodality	0.0265467963088614	0.9579	white	Prostate	1
MT1B	89	Hartigans' dip test for unimodality / multimodality	0.0664404611361643	0.0042	white	Prostate	0.07277868696479542
MT1E	89	Hartigans' dip test for unimodality / multimodality	0.0333812103250882	0.7053	white	Prostate	1
MT1F	89	Hartigans' dip test for unimodality / multimodality	0.0261300191665315	0.9646	white	Prostate	1
MT1G	89	Hartigans' dip test for unimodality / multimodality	0.0250255370852742	0.9814	white	Prostate	1
MT1H	89	Hartigans' dip test for unimodality / multimodality	0.0277297892440369	0.9311	white	Prostate	1
MT1M	89	Hartigans' dip test for unimodality / multimodality	0.0330672757929158	0.7205	white	Prostate	1
MT1X	89	Hartigans' dip test for unimodality / multimodality	0.0348314389725085	0.6305	white	Prostate	1
MT2A	89	Hartigans' dip test for unimodality / multimodality	0.0408750222412851	0.3438	white	Prostate	1
MT3	89	Hartigans' dip test for unimodality / multimodality	0.030186083863738	0.8485	white	Prostate	1
